customer_id,age,gender,province,main_channel,favorite_category,first_purchase_date,last_purchase_date,recency_days,total_orders,total_spend_thb,avg_order_value_thb,pdpa_marketing_consent,line_oa_member
C0001,52,F,เชียงใหม่,Shopee,Skincare,2025-09-18,2026-01-30,152,4,3301,781,Yes,Yes
C0002,35,M,นนทบุรี,Lazada,Supplements,2024-02-20,2025-11-14,229,8,5653,703,Yes,No
C0003,40,M,นครราชสีมา,Shopee,Supplements,2026-01-27,2026-06-05,26,8,11042,1381,Yes,No
C0004,41,F,กรุงเทพฯ,Lazada,Makeup,2024-08-19,2026-06-13,18,24,36649,1522,Yes,Yes
C0005,35,F,สงขลา,Website,Makeup,2025-11-04,2025-11-04,239,1,681,687,No,Yes
C0006,28,M,กรุงเทพฯ,Shopee,Makeup,2025-08-10,2026-05-17,45,6,7511,1223,Yes,No
C0007,35,M,กรุงเทพฯ,Website,Skincare,2024-11-20,2026-02-03,148,10,5531,557,No,No
C0008,53,F,นนทบุรี,Shopee,Makeup,2025-02-27,2025-12-06,207,7,7977,1158,Yes,Yes
C0009,27,F,สมุทรปราการ,Shopee,Haircare,2026-01-04,2026-05-26,36,7,7671,1121,Yes,Yes
C0010,52,F,กรุงเทพฯ,LINE OA,Supplements,2025-09-03,2026-01-28,154,7,7092,1041,Yes,Yes
C0011,58,F,กรุงเทพฯ,Website,Skincare,2025-07-10,2025-11-25,218,9,6980,769,Yes,No
C0012,25,F,กรุงเทพฯ,Lazada,Fragrance,2026-02-12,2026-04-02,90,10,10480,1043,No,No
C0013,26,F,สงขลา,Website,Skincare,2024-10-28,2026-05-26,36,6,4311,687,Yes,Yes
C0014,41,F,นนทบุรี,TikTok Shop,Makeup,2024-03-17,2026-02-10,141,5,5264,1052,Yes,Yes
C0015,21,F,กรุงเทพฯ,Lazada,Skincare,2024-08-05,2026-06-12,19,29,61954,2142,No,No
C0016,48,F,นครราชสีมา,Shopee,Skincare,2024-09-10,2026-05-23,39,12,9920,819,Yes,Yes
C0017,59,M,กรุงเทพฯ,Website,Skincare,2024-01-05,2025-12-04,209,7,6267,920,Yes,Yes
C0018,22,F,สงขลา,Shopee,Makeup,2025-08-18,2026-05-30,32,12,8952,743,No,No
C0019,31,F,นนทบุรี,TikTok Shop,Supplements,2026-06-20,2026-06-20,11,1,588,542,No,Yes
C0020,60,N/A,ชลบุรี,Website,Haircare,2024-10-08,2026-05-30,32,12,10878,892,Yes,Yes
C0021,50,F,กรุงเทพฯ,Shopee,Fragrance,2026-06-27,2026-06-27,4,1,665,621,Yes,Yes
C0022,55,F,ชลบุรี,Shopee,Makeup,2025-09-09,2026-06-18,13,14,30373,2163,Yes,Yes
C0023,60,N/A,กรุงเทพฯ,Shopee,Haircare,2025-12-24,2026-06-06,25,9,7283,809,Yes,No
C0024,26,F,กรุงเทพฯ,Lazada,Fragrance,2025-05-18,2026-03-15,108,8,4875,602,No,No
C0025,60,M,อุดรธานี,Shopee,Skincare,2024-12-17,2025-11-18,225,8,6555,809,No,Yes
C0026,34,F,ขอนแก่น,TikTok Shop,Makeup,2024-03-31,2026-02-08,143,6,4632,788,Yes,No
C0027,34,F,กรุงเทพฯ,Shopee,Skincare,2024-05-20,2026-04-02,90,6,3136,545,Yes,No
C0028,53,M,กรุงเทพฯ,Shopee,Skincare,2024-09-25,2026-06-13,18,40,72389,1810,Yes,Yes
C0029,44,F,กรุงเทพฯ,TikTok Shop,Fragrance,2026-06-24,2026-06-24,7,1,641,555,Yes,No
